排名,评分,电影名
1,9.6,肖申克的救赎
2,9.6,霸王别姬
3,9.6,这个杀手不太冷
4,9.6,阿甘正传
5,9.6,美丽人生
6,9.6,泰坦尼克号
7,9.6,千与千寻
8,9.6,辛德勒的名单
9,9.6,盗梦空间
10,9.6,机器人总动员
11,9.6,忠犬八公的故事
12,9.6,三傻大闹宝莱坞
13,9.6,海上钢琴师
14,9.6,放牛班的春天
15,9.6,大话西游之大圣娶亲
16,9.6,楚门的世界
17,9.6,教父
18,9.6,龙猫
19,9.6,星际穿越
20,9.6,熔炉
21,9.6,无间道
22,9.6,触不可及
23,9.6,当幸福来敲门
24,9.6,乱世佳人
25,9.6,怦然心动
151,8.9,虎口脱险
152,8.9,纵横四海
153,8.9,燃情岁月
154,8.9,教父3
155,8.9,时空恋旅人
156,8.9,玩具总动员3
157,8.9,花样年华
158,8.9,完美的世界
159,8.9,恋恋笔记本
160,8.9,无人知晓
161,8.9,达拉斯买家俱乐部
162,8.9,二十二
163,8.9,雨中曲
164,8.9,魂断蓝桥
165,8.9,猜火车
166,8.9,血战钢锯岭
167,8.9,穿越时空的少女
168,8.9,我是山姆
169,8.9,冰川时代
170,8.9,人工智能
171,8.9,爆裂鼓手
172,8.9,浪潮
173,8.9,未麻的部屋
174,8.9,罗生门
175,8.9,朗读者
26,9.1,疯狂动物城
27,9.1,天堂电影院
28,9.1,蝙蝠侠：黑暗骑士
29,9.1,活着
30,9.1,十二怒汉
31,9.1,少年派的奇幻漂流
32,9.1,鬼子来了
33,9.1,指环王3：王者无敌
34,9.1,搏击俱乐部
35,9.1,天空之城
36,9.1,控方证人
37,9.1,飞屋环游记
38,9.1,大话西游之月光宝盒
39,9.1,罗马假日
40,9.1,窃听风暴
41,9.1,摔跤吧！爸爸
42,9.1,两杆大烟枪
43,9.1,辩护人
44,9.1,闻香识女人
45,9.1,飞越疯人院
46,9.1,哈尔的移动城堡
47,9.1,死亡诗社
48,9.1,V字仇杀队
49,9.1,海豚湾
50,9.1,教父2
176,8.6,被解救的姜戈
177,8.6,头脑特工队
178,8.6,香水
179,8.6,阿飞正传
180,8.6,你的名字。
181,8.6,可可西里
182,8.6,恐怖游轮
183,8.6,房间
184,8.6,一次别离
185,8.6,战争之王
186,8.6,追随
187,8.6,撞车
188,8.6,模仿游戏
